!Geocad Enterprise Edition 1.1
!2018-10-31 15:17:08
!#BLOCK0=BLOCK0
!$Наименование
!$Код
#BLOCK0
$
$2663230
+0
7	349269,04	4329127,9
8	349211,82	4329129,29
9	349209,08	4329120,79
10	349212,95	4329119,89
11	349214,71	4329125,2
12	349268,95	4329123,91
13	349299,19	4329123,43
14	349312,06	4329122,85
15	349445,65	4329120,08
16	349609,92	4329119,21
17	349685,53	4329117,01
